"1",Skyscraper views & luxury mall,Taipei 101,"1"
"2",Hillside lantern alleys & tea houses,Jiufen,"1"
"3",Otherworldly sea-eroded rock formations,Yehliu Geopark,"1"
"4",Scenic cycling & boat tours,Sun Moon Lake,"2"
"5","Museums, parks & creative parks",Taichung,"2"
"6",Tea terraces & sunrise sea of clouds,Alishan,"2"
"7",Taiwan's oldest city & street eats,Tainan,"3"
"8",Pier-2 Art Center & harbor views,Kaohsiung,"3"
"9",White-sand beaches & water sports,Kenting,"3"
"10",Marble canyons & sky-high trails,Taroko Gorge,"4"
"11",Pacific coastlines & rice paddies,Hualien,"4"
"12",Hot springs & laid-back festivals,Taitung,"4"
